original_title,year,genre,duration,country,language,imdb_score,worldwide_gross_income,tomatometer_rating,imdb_scaled
A Streetcar Named Desire,1951,Drama,122,USA,"English, Spanish",8.0,0.049523,98.0,80.0
The Greatest Show on Earth,1952,"Drama, Family, Romance",152,USA,"English, Russian",6.6,36.0,42.0,66.0
The Lavender Hill Mob,1951,"Comedy, Crime",78,UK,"English, French, Portuguese",7.6,0.010945,100.0,76.0
Limelight,1952,"Drama, Music, Romance",137,USA,English,8.1,0.007506,97.0,81.0
Macao,1952,"Adventure, Crime, Drama",81,USA,"English, Cantonese, Japanese",6.7,0.00353,44.0,67.0
Moulin Rouge,1952,"Biography, Drama, Music",119,UK,"English, French",7.1,0.003188,78.0,71.0
Pat and Mike,1952,"Comedy, Romance, Sport",95,USA,English,7.0,0.011884,88.0,70.0
Sudden Fear,1952,"Film-Noir, Thriller",110,USA,English,7.5,0.024476,100.0,75.0
The Band Wagon,1953,"Comedy, Musical, Romance",112,USA,"English, French, German",7.5,0.014537,100.0,75.0
From Here to Eternity,1953,"Drama, Romance, War",118,USA,English,7.6,0.036416,92.0,76.0
Gentlemen Prefer Blondes,1953,"Comedy, Musical, Romance",91,USA,"English, French",7.2,0.000648,98.0,72.0
House of Wax,1953,Horror,88,USA,English,7.1,23.75,95.0,71.0
Julius Caesar,1953,"Biography, Drama, History",120,USA,English,7.3,0.010831,95.0,73.0
Little Fugitive,1953,"Drama, Family",80,USA,English,7.5,0.162373,93.0,75.0
Peter Pan,1953,"Animation, Adventure, Family",77,USA,"English, American Sign Language",7.3,87.404651,81.0,73.0
The Robe,1953,"Drama, History",135,USA,English,6.7,36.0,33.0,67.0
The Barefoot Contessa,1954,"Crime, Drama, Mystery",128,"Italy, USA","English, Spanish, Italian",7.0,0.017018,100.0,70.0
The Caine Mutiny,1954,"Drama, War",124,USA,English,7.7,21.75,92.0,77.0
Creature from the Black Lagoon,1954,"Horror, Sci-Fi",79,USA,English,7.0,0.000275,79.0,70.0
Dial M for Murder,1954,"Crime, Thriller",105,USA,English,8.2,0.018816,89.0,82.0
Johnny Guitar,1954,"Drama, Western",110,USA,English,7.7,0.004604,93.0,77.0
Rear Window,1954,"Mystery, Thriller",112,USA,English,8.4,37.032034,99.0,84.0
River of No Return,1954,"Action, Adventure, Drama",91,USA,English,6.6,0.008757,57.0,66.0
A Star Is Born,1954,"Drama, Musical, Romance",154,USA,English,7.6,4.34889,98.0,76.0
White Christmas,1954,"Comedy, Musical, Romance",120,USA,English,7.6,1.097995,77.0,76.0
All That Heaven Allows,1955,"Drama, Romance",89,USA,English,7.6,0.00017,90.0,76.0
Le amiche,1955,"Drama, Romance",104,Italy,Italian,7.2,0.068167,100.0,72.0
Bad Day at Black Rock,1955,"Crime, Drama, Mystery",81,USA,English,7.7,0.010813,97.0,77.0
East of Eden,1955,Drama,118,USA,English,7.9,0.024079,85.0,79.0
Lady and the Tramp,1955,"Animation, Adventure, Comedy",76,USA,English,7.3,93.933394,93.0,73.0
The Night of the Hunter,1955,"Crime, Drama, Film-Noir",92,USA,English,8.0,0.002001,95.0,80.0
Pather Panchali,1955,Drama,125,India,Bengali,8.6,0.135342,98.0,86.0
Rebel Without a Cause,1955,Drama,111,USA,English,7.7,0.199963,94.0,77.0
